감정	💔	깨진 하트
감정	❤	빨간색 하트
감정	💛	노란색 하트
감정	💚	초록색 하트
감정	💙	파란색 하트
감정	💜	보라색 하트
감정	💋	입술
감정	♥	하트
감정없는	😑	무표정한 얼굴
감탄	!	느낌표
감탄	¡	거꾸로 된 느낌표
감탄	🫢	눈을 뜨고 손으로 입을 가린 얼굴
감탄	🥹	눈물을 참는 얼굴
감탄부호	!	느낌표
감탄부호	¡	거꾸로 된 느낌표
감탄의문부호	‽	감탄 의문 부호
갑각류	🦐	새우
갑자기깨달은	🤭	손으로 입을 가린 얼굴
갓난아기	👶	아기
갓난아기	🍼	젖병
갓태어난	👩‍🍼	수유 중인 여자
갓태어난	👨‍🍼	수유 중인 남자
갓태어난	🧑‍🍼	수유 중인 사람
갓태어난	🐥	정면을 향해 날개를 편 병아리
갓태어난병아리	🐣	알에서 깬 병아리
강	🚣	노젓는 사람
강	🚣‍♂	노젓는 남자
강	🚣‍♀	노젓는 여자
강사	🧑‍🏫	교사
강사	👨‍🏫	남교사
강사	👩‍🏫	여교사
강아지	🐶	강아지 얼굴
강아지	🐕	개
강아지	🐩	푸들
강아지눈	🥺	애원하는 얼굴
강아지얼굴	🐶	강아지 얼굴
강연자	🧑‍🏫	교사
강연자	👨‍🏫	남교사
강연자	👩‍🏫	여교사
강우	☔	빗방울이 있는 우산
강한비	☔	빗방울이 있는 우산
강함	💪	알통
같다	=	같음
같음	=	같음
같음	≤	이하
같음	≥	이상
같음	🟰	등호 기호
같이춤춰요	🕺	남자 댄서
같지않음	≠	같지 않음
같지않음	≤	이하
같지않음	≥	이상
개	🦴	뼈다귀
개	🐶	강아지 얼굴
개	🐕	개
개	🐕‍🦺	보조견
개	🐩	푸들
개구리	🐸	개구리 얼굴
개구리얼굴	🐸	개구리 얼굴
개띠	🐶	강아지 얼굴
개미	🐜	개미
개발자	🧑‍💻	기술 전문가
개발자	👨‍💻	남자 기술 전문가
개발자	👩‍💻	여자 기술 전문가
개성있는	😎	선글라스 낀 얼굴
개월	🈷	달 월
개인	💻	노트북
갬블	🎰	슬롯 머신
갱신	🐦‍🔥	불사조
거꾸로	¡	거꾸로 된 느낌표
거꾸로	¿	거꾸로 된 물음표
거꾸로된느낌표	¡	거꾸로 된 느낌표
거꾸로된물음표	¿	거꾸로 된 물음표
거꾸로된얼굴	🙃	거꾸로 된 얼굴
거듭	√	제곱근
거듭신	🈸	거듭 신
거듭제곱근	√	제곱근
거래	🤝	악수
거미	🕷	거미
거미	🕸	거미줄
거미줄	🕸	거미줄
거북	🐢	거북이
거북등괄호	〔	여는 거북등괄호
거북등괄호	〕	닫는 거북등괄호
거북이	🐢	거북이
거울	🪞	거울
거위	🪿	거위
거의같음	≈	거의 같음
거의같지않음위의후속	⪺	거의 같지 않음 위의 후속
거인	🫈	털복숭이
거절	🫷	왼쪽으로 밀치는 손
거절	🫸	오른쪽으로 밀치는 손
거짓말	🤥	거짓말하는 얼굴
거짓말쟁이	🤥	거짓말하는 얼굴
거짓말하는얼굴	🤥	거짓말하는 얼굴
거품	🫧	거품
걱정	😟	걱정스러운 얼굴
걱정	🫦	입술을 깨물고 있는 입
걱정스러운	😨	두려워하는 얼굴
걱정스러운	🫦	입술을 깨물고 있는 입
걱정스러운얼굴	😟	걱정스러운 얼굴
걱정스러움	😟	걱정스러운 얼굴
건강	❤‍🩹	낫고 있는 하트
건강	🍎	빨간 사과
건강	🫚	생강 뿌리
건강	🥗	야채샐러드
건강관리	🧑‍⚕	의료인
건강관리	👨‍⚕	남자 의료인
건강관리	👩‍⚕	여자 의료인
건널목	🚸	어린이 보호 구역
건물	🏛	고전 양식의 건축물
건물	🏗	건물 공사
건물	🏘	주택 건물
건물	🏚	낡은 주택 건물
건물	🏠	집
건물	🏢	빌딩
건물	🏣	일본 우체국
건물	🏤	우체국
건물	🏥	병원
건물	🏦	은행
건물	🏨	호텔
건물	🏩	모텔
건물	🏪	편의점
건물	🏫	학교
건물	🏬	백화점
건물	🏭	공장
건물	🏯	일본 성
건물	🏰	유럽 성
건물	⛪	교회
건물	🏙	도시 전경
건물	🌆	도시 야경
건물	🌇	일몰
건물공사	🏗	건물 공사
건반	🎹	피아노
건배	🥂	건배하는 샴페인 잔
건배하는샴페인잔	🥂	건배하는 샴페인 잔
건설	👷	건설 노동자
건설	👷‍♂	건설 현장 남자 노동자
건설	👷‍♀	건설 현장 여자 노동자
건설노동자	👷	건설 노동자
건설현장남자노동자	👷‍♂	건설 현장 남자 노동자
건설현장여자노동자	👷‍♀	건설 현장 여자 노동자
건전지	🔋	배터리
건지	🇬🇬	깃발: 건지
건축가	🧑‍💼	회사원
건축가	👨‍💼	남자 회사원
건축가	👩‍💼	여자 회사원
걷기	🚶	보행자
걷기	🚶‍♂	걷는 남자
걷기	🚶‍♀	걷는 여자
걷기	🚶‍➡	보행자: 오른쪽을 향한
걷기	🚶‍♀‍➡	걷는 여자: 오른쪽을 향한
걷기	🚶‍♂‍➡	걷는 남자: 오른쪽을 향한
걷는남자	🚶	보행자
걷는남자	🚶‍♂	걷는 남자
걷는남자	🚶‍➡	보행자: 오른쪽을 향한
걷는남자	🚶‍♂‍➡	걷는 남자: 오른쪽을 향한
걷는사람	🚶	보행자
걷는사람	🚶‍♂	걷는 남자
걷는사람	🚶‍♀	걷는 여자
걷는사람	🚶‍➡	보행자: 오른쪽을 향한
걷는사람	🚶‍♀‍➡	걷는 여자: 오른쪽을 향한
걷는사람	🚶‍♂‍➡	걷는 남자: 오른쪽을 향한
걷는여자	🚶‍♀	걷는 여자
걷는여자	🚶‍♀‍➡	걷는 여자: 오른쪽을 향한
걸리게하다	🪝	갈고리
걸어가는사람	🚶	보행자
걸어가는사람	🚶‍♂	걷는 남자
걸어가는사람	🚶‍♀	걷는 여자
걸어가는사람	🚶‍➡	보행자: 오른쪽을 향한
걸어가는사람	🚶‍♀‍➡	걷는 여자: 오른쪽을 향한
걸어가는사람	🚶‍♂‍➡	걷는 남자: 오른쪽을 향한
걸음	👣	발자국
검	🤺	펜싱하는 사람
검	⚔	쌍검
검거	👮	경찰관
검색	🔍	왼쪽으로 향한 돋보기
검색	🔎	오른쪽으로 향한 돋보기
검색하기	🔍	왼쪽으로 향한 돋보기
검색하기	🔎	오른쪽으로 향한 돋보기
검은	🐈‍⬛	검은 고양이
검은고양이	🐈‍⬛	검은 고양이
검은구멍	🕳	구멍
검은새	🐦‍⬛	검은 새
검은색깃발	🏴	펄럭이는 검은색 깃발
검은색다이아몬드	◆	검은색 다이아몬드
검은색다이아몬드를포함하고있는흰색다이아몬드	◈	검은색 다이아몬드를 포함하고 있는 흰색 다이아몬드
검은색렌즈괄호	【	여는 검은색 렌즈 괄호
검은색렌즈괄호	】	닫는 검은색 렌즈 괄호
검은색사각형을포함하고있는흰색정사각형	▣	검은색 사각형을 포함하고 있는 흰색 정사각형
검은색삼각형	▲	검은색 위쪽 삼각형
검은색삼각형	▼	검은색 아래쪽 삼각형
검은색세로직사각형	▮	검은색 세로 직사각형
검은색아래쪽삼각형	▼	검은색 아래쪽 삼각형
검은색원	⚫	검은색 원
검은색원을포함하고있는흰색원	◉	검은색 원을 포함하고 있는 흰색 원
검은색위쪽삼각형	▲	검은색 위쪽 삼각형
검은색작은사각형	▪	작은 검은색 사각형
검은색정사각형	■	검은색 정사각형
검은색직사각형	▬	검은색 직사각형
검은색큰사각형	⬛	큰 검은색 사각형
검은색펜촉	✒	검은색 펜촉
검은색평행사변형	▰	검은색 평행 사변형
검은색하트	🖤	검은색 하트
검정	🖤	검은색 하트
검정	🐦‍⬛	검은 새
검정색중간사각형	◼	중간 검은색 사각형
검지	🤞	검지와 중지 크로스
검지	☝	위쪽을 가리키는 손
검지손가락	👈	왼쪽을 가리키는 손등
검지손가락	👉	오른쪽을 가리키는 손등
검지손가락	👆	위쪽을 가리키는 손등
검지손가락	👇	아래쪽을 가리키는 손등
검지와중지크로스	🤞	검지와 중지 크로스
겁	🫦	입술을 깨물고 있는 입
겁먹은	😦	입 벌리고 찌푸린 얼굴
겁먹은	😧	괴로워하는 얼굴
겁먹은	😓	식은땀 흘리는 얼굴
게	🦀	꽃게
게으른	🦥	나무늘보
게이	👬	손을 잡고 있는 두 명의 남자
게이	🌈	무지개
게이	🏳‍🌈	무지개 깃발
게이머	👾	에일리언
게임	👾	에일리언
게임	🏐	배구공
게임	🎳	볼링
게임	🏏	크리켓
게임	🏑	필드 하키
게임	🏒	아이스 하키와 퍽
게임	🏓	탁구
게임	🥌	컬링 스톤
게임	🎯	과녁 명중
게임	🎱	당구
게임	🎮	비디오 게임
게임	🕹	조이스틱
게임	🎰	슬롯 머신
게임	🎲	주사위
게임	♠	스페이드
게임	♥	하트
게임	♦	다이아몬드
게임	♣	클럽
게임	🃏	조커
게임	🀄	마작
게임	🎴	화투
게임패드	🎮	비디오 게임
게자리	🦀	꽃게
게자리	♋	게자리
겨울	🪾	잎이 없는 나무
겨울	☃	눈사람
